46,기업은행,"10,450","

				50
				
","

				-0.48%
				
","5,000","83,331","797,426",13.27,"568,486",3.19,9.21,
47,하이브,"187,000","

				1,000
				
","

				-0.53%
				
",500,"77,331","41,353",14.47,"180,091",28.26,6.83,
48,현대글로비스,"178,500","

				4,000
				
","

				-2.19%
				
",500,"66,938","37,500",47.81,"98,730",6.16,14.41,
49,LG이노텍,"276,000","

				1,000
				
","

				-0.36%
				
","5,000","65,321","23,667",24.20,"206,241",6.29,30.94,
50,롯데케미칼,"187,500","

				2,500
				
","

				+1.35%
				
","5,000","64,266","34,275",26.25,"84,641",30.66,9.87,
51,메리츠화재,"55,800","

				400
				
","

				-0.71%
				
",500,"61,996","111,104",11.03,"227,286",7.41,26.12,
52,메리츠금융지주,"47,000","

				1,200
				
","

				-2.49%
				
",500,"59,959","127,572",5.28,"617,935",5.69,22.33,
53,SK바이오사이언스,"74,300","

				2,900
				
","

				-3.76%
				
",500,"57,051","76,784",4.64,"465,220",20.43,38.08,
54,KODEX 200,"32,045","

				210
				
","

				+0.66%
				
",0,"56,415","176,050",11.31,"3,614,962",N/A,N/A,
55,SK바이오팜,"71,700","

				500
				
","

				-0.69%
				
",500,"56,151","78,313",6.58,"54,249",-115.83,15.75,
56,F&F,"142,000","

				500
				
","

				+0.35%
				
",100,"54,396","38,307",12.95,"201,775",13.43,N/A,
57,한국조선해양,"76,300","

				1,100
				
","

				+1.46%
				
","5,000","54,000","70,773",20.20,"123,909",-8.44,-8.95,
58,CJ제일제당,"340,000","

				5,000
				
","

				-1.45%
				
","5,000","51,184","15,054",24.93,"82,174",8.35,10.76,
59,강원랜드,"23,850","

				150
				
","

				+0.63%
				
",500,"51,025","213,940",22.83,"341,126",53.48,-0.33,
60,LG유플러스,"11,450","

				50
				
","

				+0.44%
				
","5,000","49,992","436,611",38.18,"720,351",8.38,9.47,
61,HD현대,"63,200","

				700
				
","

				+1.12%
				
","1,000","49,924","78,993",18.55,"139,701",4.44,-1.99,
62,SK스퀘어,"35,250","

				50
				
","

				-0.14%
				
",100,"49,867","141,468",42.48,"247,820",3.04,N/A,
63,넷마블,"57,000","

				300
				
","

				-0.52%
				
",100,"48,993","85,954",22.73,"174,995",-16.41,4.29,
64,DB손해보험,"68,500","

				500
				
","

				-0.72%
				
",500,"48,498","70,800",43.34,"117,078",4.92,13.38,
65,맥쿼리인프라,"11,950","

				150
				
","

				+1.27%
				
",0,"48,379","404,846",13.06,"660,873",N/A,N/A,
66,오리온,"122,000","

				500
				
","

				+0.41%
				
",500,"48,234","39,536",38.56,"97,495",15.89,12.75,
67,삼성엔지니어링,"24,350","

				400
				
","

				+1.67%
				
","5,000","47,726","196,000",42.14,"527,295",9.89,20.67,
68,LG디스플레이,"13,200","

				100
				
","

				-0.75%
				
","5,000","47,232","357,816",19.36,"511,864",-4.73,9.68,
69,현대제철,"35,200","

				900
				
","

				+2.62%
				
","5,000","46,973","133,446",22.22,"454,810",2.88,8.54,
70,한온시스템,"8,760","

				70
				
","

				+0.81%
				
",100,"46,761","533,800",16.45,"380,404",30.63,13.83,
71,한국항공우주,"47,400","

				1,100
				
","

				+2.38%
				
","5,000","46,203","97,475",24.79,"804,147",35.67,5.19,
72,TIGER CD금리투자KIS(합성),"51,800","

				5
				
","

				+0.01%
				
",0,"46,011","88,824",0.00,"673,681",N/A,N/A,
73,삼성중공업,"5,130","

				40
				
","

				+0.79%
				
","1,000","45,144","880,000",16.63,"1,577,618",-6.38,-36.89,
74,SK아이이테크놀로지,"62,800","

				1,800
				
","

				+2.95%
				
","1,000","44,775","71,298",8.52,"189,976",-93.04,5.57,
75,금호석유,"148,000","

				500
				
","

				-0.34%
				
","5,000","43,385","29,314",21.63,"27,109",4.21,47.76,
76,현대건설,"38,600","

				2,600
				
","

				+7.22%
				
","5,000","42,983","111,356",25.03,"1,456,559",6.47,5.89,
77,포스코인터내셔널,"24,250","

				700
				
","

				+2.97%
				
","5,000","42,661","175,923",6.23,"1,125,802",5.23,10.86,
78,메리츠증권,"6,930","

				60
				
","

				-0.86%
				
","1,000","42,622","615,041",14.32,"762,123",5.78,15.77,
79,GS,"45,400","

				50
				
","

				+0.11%
				
","5,000","42,184","92,915",25.51,"88,126",1.94,15.55,
80,미래에셋증권,"6,840","

				70
				
","

				-1.01%
				
","5,000","42,088","615,316",13.08,"487,292",7.31,11.66,
81,유한양행,"53,400","

				400
				
","

				+0.75%
				
","1,000","40,925","76,639",20.25,"171,051",55.62,5.45,
82,한국타이어앤테크놀로지,"33,000","

				50
				
","

				-0.15%
				
",500,"40,879","123,875",36.36,"137,367",5.62,7.69,
83,코웨이,"55,100","

				800
				
","

				-1.43%
				
",500,"40,664","73,800",61.66,"135,993",8.67,27.41,
84,한화에어로스페이스,"76,100","

				600
				
","

				+0.79%
				
","5,000","38,529","50,630",25.23,"717,297",20.84,9.21,
85,삼성카드,"30,500","

				100
				
","

				+0.33%
				
","5,000","35,337","115,859",6.40,"65,287",6.03,7.53,
86,SKC,"93,100","

				800
				
","

				+0.87%
				
","5,000","35,255","37,868",14.49,"81,626",26.20,11.60,
87,롯데지주,"33,500","

				250
				
","

				+0.75%
				
",200,"35,145","104,909",9.68,"131,046",20.06,4.61,
88,두산밥캣,"34,750","
0
","
0.00%
",500,"34,837","100,249",29.65,"113,210",7.21,9.19,
89,한국금융지주,"61,700","
0
","
0.00%
","5,000","34,383","55,726",36.84,"107,291",4.32,27.12,
90,BGF리테일,"192,500","
0
","
0.00%
","1,000","33,272","17,284",33.23,"18,293",17.67,19.61,
91,아모레G,"40,000","

				2,100
				
","

				+5.54%
				
",500,"32,983","82,458",10.15,"600,592",103.36,5.49,
92,한미약품,"259,000","

				2,500
				
","

				+0.97%
				
","2,500","32,536","12,562",16.38,"19,795",40.28,8.75,
93,호텔신라,"82,800","

				700
				
","

				-0.84%
				
","5,000","32,497","39,248",21.09,"295,745",68.26,4.51,
94,팬오션,"5,950","

				40
				
","

				-0.67%
				
","1,000","31,807","534,570",15.80,"2,516,902",4.08,17.16,
95,삼성증권,"35,350","

				200
				
","

				-0.56%
				
","5,000","31,568","89,300",27.89,"161,155",5.68,16.94,
96,NH투자증권,"9,480","

				30
				
","

				+0.32%
				
","5,000","31,442","331,666",12.68,"375,575",7.50,14.77,
97,한국가스공사,"33,900","

				100
				
","

				-0.29%
				
","5,000","31,294","92,313",9.66,"275,914",2.65,11.63,
98,KODEX KOFR금리액티브(합성),"101,895","

				30
				
","

				+0.03%
				
",0,"30,996","30,420",0.00,"51,248",N/A,N/A,
99,TIGER 차이나전기차SOLACTIVE,"12,390","

				290
				
","

				+2.40%
				
",0,"30,673","247,560",0.51,"3,549,128",N/A,N/A,
100,현대미포조선,"76,500","

				300
				
","

				+0.39%
				
","5,000","30,556","39,942",21.11,"158,696",113.50,-7.11,
101,GS리테일,"29,050","

				250
				
","

				+0.87%
				
","1,000","30,421","104,718",7.63,"176,414",33.70,25.58,
102,에스디바이오센서,"29,100","

				500
				
","

				-1.69%
				
",500,"30,376","104,383",15.02,"108,784",2.20,72.47,
103,이마트,"105,500","

				500
				
","

				-0.47%
				
","5,000","29,409","27,876",29.83,"97,090",3.18,16.25,
104,현대차2우B,"79,900","

				800
				
","

				-0.99%
				
","5,000","29,152","36,485",60.24,"38,290",3.56,N/A,
105,현대로템,"26,500","

				200
				
","

				+0.76%
				
","5,000","28,923","109,142",6.02,"1,096,220",26.37,5.01,
106,현대해상,"32,050","

				200
				
","

				-0.62%
				
",500,"28,653","89,400",34.91,"294,085",5.27,8.82,
107,쌍용C&E,"5,670","

				40
				
","

				+0.71%
				
",100,"28,569","503,860",2.60,"231,069",43.28,11.12,
108,씨에스윈드,"67,600","

				400
				
","

				-0.59%
				
",500,"28,508","42,171",11.50,"379,393",226.85,10.13,
109,롯데쇼핑,"100,000","

				1,500
				
","

				-1.48%
				
","5,000","28,289","28,289",12.67,"41,318",-5.45,-2.94,
110,현대오토에버,"101,000","
0
","
0.00%
",500,"27,698","27,424",2.15,"19,255",30.82,7.26,
111,일진머티리얼즈,"59,500","

				1,100
				
","

				+1.88%
				
",500,"27,436","46,111",10.16,"178,374",49.21,7.85,
112,한진칼,"40,150","

				500
				
","

				-1.23%
				
","2,500","26,805","66,762",17.02,"66,974",2.83,1.11,
113,키움증권,"98,300","

				1,400
				
","

				-1.40%
				
","5,000","25,774","26,220",25.67,"55,128",5.09,25.38,
